author,desc,genre,img,release,score,time,title
Billy Wilder,"Charles Tatum, journaliste sans scrupules, va exploiter un scoop. Au Nouveau-Mexique, Léo Minosa, un Indien, est coincé au fond d'une galerie effondrée. S'arrangeant pour être le seul journaliste sur le coup, Tatum va persuader le shérif de choisir la formule de sauvetage la plus lente.",Drame,https://fr.web.img4.acsta.net/c_310_420/pictures/16/12/22/09/48/002214.jpg,15 février 2017,"4,3,4,2",1h 51min,Le Gouffre aux chimères
Francis Veber,"Tous les mercredis, Pierre Brochant et ses amis organisent un dîner où chacun doit amener un con. Celui qui a trouvé le plus spectaculaire est declaré vainqueur. Ce soir, Brochant exulte, il est sur d'avoir trouvé la perle rare, un con de classe mondiale: Francois Pignon, comptable au ministère des Finances et passionné de modèles réduits ...",Comédie,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/36/10/96/19649758.jpg,,"4,2,--",1h 20min,Le Dîner de cons
Martin Scorsese,"L’argent. Le pouvoir. Les femmes. La drogue. Les tentations étaient là, à portée de main, et les autorités n’avaient aucune prise. Aux yeux de Jordan et de sa meute, la modestie était devenue complètement inutile. Trop n’était jamais assez…","Biopic,Drame",https://fr.web.img5.acsta.net/c_310_420/pictures/210/604/21060483_20131125114549726.jpg,,"4,0,4,2",2h 59min,Le Loup de Wall Street
Ernst Lubitsch,"Chez Matuschek et Cie, une grande boutique de maroquinerie, le jeune Alfred Kralik, l'adjoint du patron, et Klara Novak, une nouvelle employée, vont échanger une correspondance amoureuse, sans savoir qui ils sont, à l'aide de petites annonces.","Comédie,Romance","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",22 septembre 2010,"4,0,4,3",1h 37min,Rendez-vous
Henri-Georges Clouzot,"Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'ells ont fini par haïr. Mais quelques jours après leur méfait, le corps de Michel disparaît...","Drame,Epouvante-horreur,Thriller","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",8 novembre 2017,"4,3,--",1h 57min,Les Diaboliques
Taichi Ishidate,"Violet Evergarden est toujours incapable d'oublier Gilbert, son ancien supérieur hiérarchique. Un jour, alors qu'elle reçoit une demande d'un jeune client, CH Postal découvre une lettre sans adresse dans leur entrepôt.","Animation,Drame,Fantastique","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"2,7,4,3",2h 21min,Violet Evergarden - le film
Billy Wilder,"Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent amoureux d'une ravissante créature.","Comédie,Romance","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",16 janvier 2019,"3,2,4,2",2h 01min,Certains l'aiment chaud
Raoul Walsh,"Comment, dans les années 1880, le jeune Jim Corbett va devenir Gentleman Jim et donner à la boxe ses lettres de noblesse.",Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",4 octobre 2006,"4,2,--",1h 44min,Gentleman Jim
James Marsh,"1963, en Angleterre, Stephen, brillant étudiant en Cosmologie à l’Université de Cambridge, entend bien donner une réponse simple et efficace au mystère de la création de l’univers. De nouveaux horizons s’ouvrent quand il tombe amoureux d’une étudiante en art, Jane Wilde.","Biopic,Drame","data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"3,3,4,2",2h 03min,Une merveilleuse histoire du temps
Jeanne Herry,Théo est remis à l'adoption par sa mère biologique le jour de sa naissance. C'est un accouchement sous X. La mère à deux mois pour revenir sur sa décision...ou pas. Les services de l'aide sociale à l'enfance et le service adoption se mettent en mouvement. ,Drame,"data:image/gif;base64,R0lGODlhAwAEAIAAAAAAAAAAACH5BAEAAAAALAAAAAADAAQAAAIDhI9WADs=",,"4,3,4,2",1h 50min,Pupille
